ID,Defect_ID,Control_Type,State,Timestamp
108,27,ACC17,assign,2025-05-29 08:56:49
109,28,ACC17,assign,2025-05-29 09:04:47
110,29,ACC17,assign,2025-05-29 09:10:36
111,28,ACC17,in-progress,2025-05-29 11:11:31
112,29,ACC17,in-progress,2025-05-29 12:05:29
113,27,ACC17,in-progress,2025-05-29 13:47:03
114,29,ACC17,closed,2025-05-30 09:58:24
115,28,ACC17,closed,2025-05-30 11:05:09
116,27,ACC17,closed,2025-05-30 17:48:59
117,30,AUTH18,new,2025-05-30 20:44:59
118,30,AUTH18,assign,2025-05-31 00:11:59
119,30,AUTH18,in-progress,2025-05-31 01:18:59
120,30,AUTH18,closed,2025-05-31 02:50:59
121,31,ACC28,new,2025-05-31 04:25:59
122,31,ACC28,assign,2025-05-31 08:42:59
123,31,ACC28,in-progress,2025-05-31 13:27:59
124,31,ACC28,closed,2025-05-31 18:01:59
125,32,ACC28,new,2025-05-31 19:59:59
126,32,ACC28,assign,2025-06-01 00:16:59
127,32,ACC28,in-progress,2025-06-01 02:07:59
128,32,ACC28,closed,2025-06-01 02:23:59
129,33,ACC28,new,2025-06-01 06:57:59
130,33,ACC28,assign,2025-06-01 10:57:59
131,33,ACC28,in-progress,2025-06-01 12:11:59
132,33,ACC28,closed,2025-06-01 13:35:59
133,34,ACC28,new,2025-06-01 14:59:59
134,34,ACC28,assign,2025-06-01 17:21:59
135,34,ACC28,in-progress,2025-06-01 20:33:59
136,34,ACC28,closed,2025-06-02 00:39:59
137,35,ACC28,new,2025-06-02 01:40:59
138,35,ACC28,assign,2025-06-02 03:32:59
139,35,ACC28,in-progress,2025-06-02 08:31:59
140,35,ACC28,closed,2025-06-02 09:34:59
141,36,AUTH42,new,2025-06-02 10:09:59
142,36,AUTH42,assign,2025-06-02 11:30:59
143,36,AUTH42,in-progress,2025-06-02 12:47:59
144,36,AUTH42,closed,2025-06-02 15:21:59
145,37,ACC28,new,2025-06-02 16:17:59
146,37,ACC28,assign,2025-06-02 19:44:59
147,37,ACC28,in-progress,2025-06-02 20:32:59
148,37,ACC28,closed,2025-06-02 22:29:59
149,38,AUTH18,new,2025-06-03 02:46:59
150,38,AUTH18,assign,2025-06-03 03:28:59
151,38,AUTH18,in-progress,2025-06-03 04:34:59
152,38,AUTH18,closed,2025-06-03 05:37:59
153,39,ACC17,new,2025-06-03 09:12:59
154,39,ACC17,assign,2025-06-03 10:30:59
155,39,ACC17,in-progress,2025-06-03 11:45:59
156,39,ACC17,closed,2025-06-03 13:13:59
157,40,AUTH42,new,2025-06-03 15:51:59
158,40,AUTH42,assign,2025-06-03 19:54:59
159,40,AUTH42,in-progress,2025-06-03 22:03:59
160,40,AUTH42,closed,2025-06-04 00:24:59
161,41,AUTH18,new,2025-06-04 03:45:59
162,41,AUTH18,assign,2025-06-04 05:10:59
163,41,AUTH18,in-progress,2025-06-04 09:27:59
164,41,AUTH18,closed,2025-06-04 13:42:59
165,42,ACC17,new,2025-06-04 14:53:59
166,42,ACC17,assign,2025-06-04 17:08:59
167,42,ACC17,in-progress,2025-06-04 20:44:59
168,42,ACC17,closed,2025-06-05 01:39:59
169,43,ACC28,new,2025-06-05 04:18:59
170,43,ACC28,assign,2025-06-05 04:58:59
171,43,ACC28,in-progress,2025-06-05 07:43:59
172,43,ACC28,closed,2025-06-05 10:18:59
173,44,ACC28,new,2025-06-05 12:15:59
174,44,ACC28,assign,2025-06-05 14:05:59
175,44,ACC28,in-progress,2025-06-05 18:31:59
176,44,ACC28,closed,2025-06-05 19:48:59
177,45,AUTH18,new,2025-06-05 20:03:59
178,45,AUTH18,assign,2025-06-05 22:24:59
179,45,AUTH18,in-progress,2025-06-06 01:29:59
180,45,AUTH18,closed,2025-06-06 05:17:59
181,46,AUTH18,new,2025-06-06 07:43:59
182,46,AUTH18,assign,2025-06-06 09:15:59
183,46,AUTH18,in-progress,2025-06-06 12:22:59
184,46,AUTH18,closed,2025-06-06 16:06:59
185,47,ACC28,new,2025-06-06 16:18:59
186,47,ACC28,assign,2025-06-06 18:43:59
187,47,ACC28,in-progress,2025-06-06 22:27:59
188,47,ACC28,closed,2025-06-07 02:36:59
189,48,ACC28,new,2025-06-07 07:00:59
190,48,ACC28,assign,2025-06-07 07:48:59
191,48,ACC28,in-progress,2025-06-07 12:01:59
192,48,ACC28,closed,2025-06-07 15:52:59
193,49,ACC17,new,2025-06-07 17:13:59
194,49,ACC17,assign,2025-06-07 22:12:59
195,49,ACC17,in-progress,2025-06-08 01:23:59
196,49,ACC17,closed,2025-06-08 05:43:59
197,50,ACC28,new,2025-06-08 08:08:59
198,50,ACC28,assign,2025-06-08 12:49:59
199,50,ACC28,in-progress,2025-06-08 13:16:59
200,50,ACC28,closed,2025-06-08 14:01:59
201,51,AUTH18,new,2025-06-08 19:01:59
202,51,AUTH18,assign,2025-06-08 22:22:59
203,51,AUTH18,in-progress,2025-06-09 02:19:59
204,51,AUTH18,closed,2025-06-09 03:02:59
205,52,AUTH18,new,2025-06-09 03:36:59
206,52,AUTH18,assign,2025-06-09 06:18:59
207,52,AUTH18,in-progress,2025-06-09 07:28:59
208,52,AUTH18,closed,2025-06-09 12:05:59
209,53,ACC17,new,2025-06-09 15:53:59
210,53,ACC17,assign,2025-06-09 17:27:59
211,53,ACC17,in-progress,2025-06-09 18:10:59
212,53,ACC17,closed,2025-06-09 23:03:59
213,54,ACC17,new,2025-06-10 00:05:59
214,54,ACC17,assign,2025-06-10 03:17:59
215,54,ACC17,in-progress,2025-06-10 07:49:59
216,54,ACC17,closed,2025-06-10 11:15:59
217,55,AUTH18,new,2025-06-10 13:43:59
218,55,AUTH18,assign,2025-06-10 18:04:59
219,55,AUTH18,in-progress,2025-06-10 18:56:59
220,55,AUTH18,closed,2025-06-10 19:37:59
221,56,ACC28,new,2025-06-11 00:31:59
222,56,ACC28,assign,2025-06-11 02:16:59
223,56,ACC28,in-progress,2025-06-11 05:13:59
224,56,ACC28,closed,2025-06-11 08:11:59
225,57,ACC17,new,2025-06-11 10:27:59
226,57,ACC17,assign,2025-06-11 12:11:59
227,57,ACC17,in-progress,2025-06-11 14:01:59
228,57,ACC17,closed,2025-06-11 16:07:59
229,58,AUTH42,new,2025-06-11 18:16:59
230,58,AUTH42,assign,2025-06-11 21:27:59
231,58,AUTH42,in-progress,2025-06-12 01:44:59
232,58,AUTH42,closed,2025-06-12 03:37:59
233,59,AUTH18,new,2025-06-12 04:41:59
234,59,AUTH18,assign,2025-06-12 05:10:59
235,59,AUTH18,in-progress,2025-06-12 07:06:59
236,59,AUTH18,closed,2025-06-12 10:26:59
237,60,ACC17,new,2025-06-12 10:30:59
238,60,ACC17,assign,2025-06-12 11:08:59
239,60,ACC17,in-progress,2025-06-12 15:54:59
240,60,ACC17,closed,2025-06-12 20:08:59
241,61,AUTH18,new,2025-06-12 22:19:59
242,61,AUTH18,assign,2025-06-13 02:06:59
243,61,AUTH18,in-progress,2025-06-13 06:56:59
244,61,AUTH18,closed,2025-06-13 10:49:59
245,62,AUTH42,new,2025-06-13 14:33:59
246,62,AUTH42,assign,2025-06-13 18:32:59
247,62,AUTH42,in-progress,2025-06-13 19:11:59
248,62,AUTH42,closed,2025-06-13 20:53:59
249,63,ACC17,new,2025-06-14 01:11:59
250,63,ACC17,assign,2025-06-14 05:31:59
251,63,ACC17,in-progress,2025-06-14 05:46:59
252,63,ACC17,closed,2025-06-14 08:57:59
253,64,ACC17,new,2025-06-14 11:15:59
254,64,ACC17,assign,2025-06-14 11:20:59
255,64,ACC17,in-progress,2025-06-14 14:23:59
256,64,ACC17,closed,2025-06-14 16:30:59
257,65,AUTH18,new,2025-06-14 20:24:59
258,65,AUTH18,assign,2025-06-15 00:19:59
259,65,AUTH18,in-progress,2025-06-15 01:00:59
260,65,AUTH18,closed,2025-06-15 04:41:59
261,66,AUTH42,new,2025-06-15 05:44:59
262,66,AUTH42,assign,2025-06-15 09:35:59
263,66,AUTH42,in-progress,2025-06-15 09:38:59
264,66,AUTH42,closed,2025-06-15 10:47:59
265,67,ACC03,new,2025-06-15 11:43:59
266,67,ACC03,assign,2025-06-15 16:05:59
267,67,ACC03,in-progress,2025-06-15 19:47:59
268,67,ACC03,closed,2025-06-15 20:47:59
269,68,ACC17,new,2025-06-16 00:40:59
270,68,ACC17,assign,2025-06-16 01:49:59
271,68,ACC17,in-progress,2025-06-16 02:22:59
272,68,ACC17,closed,2025-06-16 05:02:59
273,69,AUTH42,new,2025-06-16 08:31:59
274,69,AUTH42,assign,2025-06-16 11:22:59
275,69,AUTH42,in-progress,2025-06-16 14:47:59
276,69,AUTH42,closed,2025-06-16 18:21:59
277,70,AUTH18,new,2025-06-16 19:59:59
278,70,AUTH18,assign,2025-06-16 20:13:59
279,70,AUTH18,in-progress,2025-06-16 22:34:59
280,70,AUTH18,closed,2025-06-17 00:50:59
281,71,ACC28,new,2025-06-17 01:30:59
282,71,ACC28,assign,2025-06-17 06:03:59
283,71,ACC28,in-progress,2025-06-17 08:56:59
284,71,ACC28,closed,2025-06-17 12:41:59
285,72,AUTH42,new,2025-06-17 16:37:59
286,72,AUTH42,assign,2025-06-17 19:49:59
287,72,AUTH42,in-progress,2025-06-17 20:04:59
288,72,AUTH42,closed,2025-06-17 21:48:59
289,73,ACC28,new,2025-06-17 22:21:59
290,73,ACC28,assign,2025-06-17 23:25:59
291,73,ACC28,in-progress,2025-06-18 00:22:59
292,73,ACC28,closed,2025-06-18 03:39:59
293,74,AUTH42,new,2025-06-18 08:17:59
294,74,AUTH42,assign,2025-06-18 12:19:59
295,74,AUTH42,in-progress,2025-06-18 16:40:59
296,74,AUTH42,closed,2025-06-18 18:49:59
297,75,ACC03,new,2025-06-18 18:56:59
298,75,ACC03,assign,2025-06-18 20:27:59
299,75,ACC03,in-progress,2025-06-18 23:40:59
300,75,ACC03,closed,2025-06-19 03:33:59
301,76,AUTH18,new,2025-06-19 07:10:59
302,76,AUTH18,assign,2025-06-19 10:59:59
303,76,AUTH18,in-progress,2025-06-19 13:16:59
304,76,AUTH18,closed,2025-06-19 14:44:59
305,77,AUTH18,new,2025-06-19 18:46:59
306,77,AUTH18,assign,2025-06-19 23:05:59
307,77,AUTH18,in-progress,2025-06-20 02:05:59
308,77,AUTH18,closed,2025-06-20 03:37:59
309,78,ACC03,new,2025-06-20 06:00:59
310,78,ACC03,assign,2025-06-20 06:20:59
311,78,ACC03,in-progress,2025-06-20 06:33:59
312,78,ACC03,closed,2025-06-20 11:25:59
313,79,ACC03,new,2025-06-20 13:36:59
314,79,ACC03,assign,2025-06-20 17:49:59
315,79,ACC03,in-progress,2025-06-20 18:42:59
316,79,ACC03,closed,2025-06-20 23:24:59
317,80,ACC03,new,2025-06-21 01:25:59
318,80,ACC03,assign,2025-06-21 04:56:59
319,80,ACC03,in-progress,2025-06-21 05:50:59
320,80,ACC03,closed,2025-06-21 09:31:59
321,81,AUTH42,new,2025-06-21 10:11:59
322,81,AUTH42,assign,2025-06-21 13:38:59
323,81,AUTH42,in-progress,2025-06-21 16:23:59
324,81,AUTH42,closed,2025-06-21 18:14:59
325,82,ACC17,new,2025-06-21 21:02:59
326,82,ACC17,assign,2025-06-22 00:00:59
327,82,ACC17,in-progress,2025-06-22 01:50:59
328,82,ACC17,closed,2025-06-22 02:04:59
329,83,ACC03,new,2025-06-22 04:13:59
330,83,ACC03,assign,2025-06-22 06:03:59
331,83,ACC03,in-progress,2025-06-22 08:02:59
332,83,ACC03,closed,2025-06-22 10:12:59
333,84,AUTH42,new,2025-06-22 13:36:59
334,84,AUTH42,assign,2025-06-22 18:21:59
335,84,AUTH42,in-progress,2025-06-22 22:52:59
336,84,AUTH42,closed,2025-06-23 02:42:59
337,85,ACC17,new,2025-06-23 04:15:59
338,85,ACC17,assign,2025-06-23 07:21:59
339,85,ACC17,in-progress,2025-06-23 09:27:59
340,85,ACC17,closed,2025-06-23 13:14:59
341,86,ACC17,new,2025-06-23 15:44:59
342,86,ACC17,assign,2025-06-23 20:24:59
343,86,ACC17,in-progress,2025-06-23 21:22:59
344,86,ACC17,closed,2025-06-24 02:03:59
345,87,AUTH18,new,2025-06-24 02:20:59
346,87,AUTH18,assign,2025-06-24 05:02:59
347,87,AUTH18,in-progress,2025-06-24 06:17:59
348,87,AUTH18,closed,2025-06-24 06:40:59
349,88,AUTH18,new,2025-06-24 08:08:59
350,88,AUTH18,assign,2025-06-24 11:18:59
351,88,AUTH18,in-progress,2025-06-24 15:37:59
352,88,AUTH18,closed,2025-06-24 16:48:59
353,89,ACC03,new,2025-06-24 19:20:59
354,89,ACC03,assign,2025-06-24 23:07:59
355,89,ACC03,in-progress,2025-06-25 01:43:59
356,89,ACC03,closed,2025-06-25 04:09:59
357,90,ACC17,new,2025-06-25 08:51:59
358,90,ACC17,assign,2025-06-25 11:12:59
359,90,ACC17,in-progress,2025-06-25 11:23:59
360,90,ACC17,closed,2025-06-25 16:10:59
361,91,AUTH42,new,2025-06-25 21:05:59
362,91,AUTH42,assign,2025-06-25 21:53:59
363,91,AUTH42,in-progress,2025-06-26 00:03:59
364,91,AUTH42,closed,2025-06-26 04:27:59
365,92,ACC17,new,2025-06-26 04:42:59
366,92,ACC17,assign,2025-06-26 07:12:59
367,92,ACC17,in-progress,2025-06-26 11:59:59
368,92,ACC17,closed,2025-06-26 14:36:59
369,93,ACC03,new,2025-06-26 16:15:59
370,93,ACC03,assign,2025-06-26 17:20:59
371,93,ACC03,in-progress,2025-06-26 21:18:59
372,93,ACC03,closed,2025-06-26 22:47:59
373,94,AUTH42,new,2025-06-27 02:52:59
374,94,AUTH42,assign,2025-06-27 06:37:59
375,94,AUTH42,in-progress,2025-06-27 07:45:59
376,94,AUTH42,closed,2025-06-27 12:28:59
377,95,ACC03,new,2025-06-27 12:31:59
378,95,ACC03,assign,2025-06-27 12:47:59
379,95,ACC03,in-progress,2025-06-27 17:36:59
380,95,ACC03,closed,2025-06-27 17:59:59
381,96,AUTH18,new,2025-06-27 18:05:59
382,96,AUTH18,assign,2025-06-27 20:41:59
383,96,AUTH18,in-progress,2025-06-27 23:16:59
384,96,AUTH18,closed,2025-06-28 01:28:59
385,97,AUTH42,new,2025-06-28 02:45:59
386,97,AUTH42,assign,2025-06-28 07:24:59
387,97,AUTH42,in-progress,2025-06-28 09:41:59
388,97,AUTH42,closed,2025-06-28 14:02:59
389,98,ACC03,new,2025-06-28 18:37:59
390,98,ACC03,assign,2025-06-28 19:37:59
391,98,ACC03,in-progress,2025-06-28 23:54:59
392,98,ACC03,closed,2025-06-29 01:27:59
393,99,AUTH42,new,2025-06-29 03:52:59
394,99,AUTH42,assign,2025-06-29 06:09:59
395,99,AUTH42,in-progress,2025-06-29 10:58:59
396,99,AUTH42,closed,2025-06-29 12:19:59
397,100,ACC03,new,2025-06-29 14:16:59
398,100,ACC03,assign,2025-06-29 17:18:59
399,100,ACC03,in-progress,2025-06-29 17:23:59
400,100,ACC03,closed,2025-06-29 18:33:59
401,101,ACC28,new,2025-06-29 21:05:59
402,101,ACC28,assign,2025-06-30 00:19:59
403,101,ACC28,in-progress,2025-06-30 03:27:59
404,101,ACC28,closed,2025-06-30 05:06:59
405,102,AUTH42,new,2025-06-30 06:45:59
406,102,AUTH42,assign,2025-06-30 07:48:59
407,102,AUTH42,in-progress,2025-06-30 10:54:59
408,102,AUTH42,closed,2025-06-30 13:11:59
409,103,ACC28,new,2025-06-30 16:26:59
410,103,ACC28,assign,2025-06-30 17:55:59
411,103,ACC28,in-progress,2025-06-30 21:02:59
412,103,ACC28,closed,2025-06-30 21:35:59
413,104,AUTH42,new,2025-07-01 01:31:59
414,104,AUTH42,assign,2025-07-01 05:07:59
415,104,AUTH42,in-progress,2025-07-01 05:46:59
416,104,AUTH42,closed,2025-07-01 08:55:59
417,105,ACC17,new,2025-07-01 12:09:59
418,105,ACC17,assign,2025-07-01 14:08:59
419,105,ACC17,in-progress,2025-07-01 15:33:59
420,105,ACC17,closed,2025-07-01 17:08:59
421,106,AUTH42,new,2025-07-01 19:52:59
422,106,AUTH42,assign,2025-07-01 22:38:59
423,106,AUTH42,in-progress,2025-07-02 00:33:59
424,106,AUTH42,closed,2025-07-02 01:17:59
425,107,ACC17,new,2025-07-02 02:10:59
426,107,ACC17,assign,2025-07-02 04:20:59
427,107,ACC17,in-progress,2025-07-02 06:33:59
428,107,ACC17,closed,2025-07-02 06:55:59
429,108,ACC17,new,2025-07-02 10:57:59
430,108,ACC17,assign,2025-07-02 15:56:59
431,108,ACC17,in-progress,2025-07-02 17:35:59
432,108,ACC17,closed,2025-07-02 18:00:59
433,109,AUTH18,new,2025-07-02 19:17:59
434,109,AUTH18,assign,2025-07-02 19:48:59
435,109,AUTH18,in-progress,2025-07-03 00:11:59
436,109,AUTH18,closed,2025-07-03 02:13:59
437,110,ACC17,new,2025-07-03 05:18:59
438,110,ACC17,assign,2025-07-03 06:42:59
439,110,ACC17,in-progress,2025-07-03 10:01:59
440,110,ACC17,closed,2025-07-03 14:39:59
441,111,ACC17,new,2025-07-03 15:54:59
442,111,ACC17,assign,2025-07-03 17:21:59
443,111,ACC17,in-progress,2025-07-03 22:03:59
444,111,ACC17,closed,2025-07-03 23:52:59
445,112,ACC03,new,2025-07-04 03:34:59
446,112,ACC03,assign,2025-07-04 08:31:59
447,112,ACC03,in-progress,2025-07-04 10:39:59
448,112,ACC03,closed,2025-07-04 12:53:59
449,113,AUTH42,new,2025-07-04 15:58:59
450,113,AUTH42,assign,2025-07-04 20:41:59
451,113,AUTH42,in-progress,2025-07-05 00:54:59
452,113,AUTH42,closed,2025-07-05 05:04:59
453,114,ACC17,new,2025-07-05 06:46:59
454,114,ACC17,assign,2025-07-05 08:46:59
455,114,ACC17,in-progress,2025-07-05 12:05:59
456,114,ACC17,closed,2025-07-05 14:01:59
457,115,ACC03,new,2025-07-05 16:01:59
458,115,ACC03,assign,2025-07-05 18:25:59
459,115,ACC03,in-progress,2025-07-05 20:58:59
460,115,ACC03,closed,2025-07-06 01:35:59
461,116,AUTH18,new,2025-07-06 05:00:59
462,116,AUTH18,assign,2025-07-06 09:01:59
463,116,AUTH18,in-progress,2025-07-06 09:44:59
464,116,AUTH18,closed,2025-07-06 13:13:59
465,117,AUTH42,new,2025-07-06 17:14:59
466,117,AUTH42,assign,2025-07-06 19:56:59
467,117,AUTH42,in-progress,2025-07-06 22:18:59
468,117,AUTH42,closed,2025-07-06 23:38:59
469,118,ACC17,new,2025-07-07 00:24:59
470,118,ACC17,assign,2025-07-07 01:44:59
471,118,ACC17,in-progress,2025-07-07 04:22:59
472,118,ACC17,closed,2025-07-07 06:13:59
473,119,ACC17,new,2025-07-07 06:21:59
474,119,ACC17,assign,2025-07-07 10:18:59
475,119,ACC17,in-progress,2025-07-07 14:56:59
476,119,ACC17,closed,2025-07-07 19:16:59
477,120,AUTH42,new,2025-07-08 00:15:59
478,120,AUTH42,assign,2025-07-08 01:15:59
479,120,AUTH42,in-progress,2025-07-08 04:59:59
480,120,AUTH42,closed,2025-07-08 05:59:59
481,121,AUTH42,new,2025-07-08 10:32:59
482,121,AUTH42,assign,2025-07-08 14:26:59
483,121,AUTH42,in-progress,2025-07-08 17:55:59
484,121,AUTH42,closed,2025-07-08 22:02:59
485,122,AUTH42,new,2025-07-08 23:53:59
486,122,AUTH42,assign,2025-07-09 01:13:59
487,122,AUTH42,in-progress,2025-07-09 05:32:59
488,122,AUTH42,closed,2025-07-09 08:06:59
489,123,AUTH42,new,2025-07-09 11:31:59
490,123,AUTH42,assign,2025-07-09 13:54:59
491,123,AUTH42,in-progress,2025-07-09 17:47:59
492,123,AUTH42,closed,2025-07-09 17:58:59
493,124,AUTH42,new,2025-07-09 19:39:59
494,124,AUTH42,assign,2025-07-09 21:26:59
495,124,AUTH42,in-progress,2025-07-09 21:44:59
496,124,AUTH42,closed,2025-07-09 22:13:59
497,125,AUTH42,new,2025-07-10 01:29:59
498,125,AUTH42,assign,2025-07-10 06:15:59
499,125,AUTH42,in-progress,2025-07-10 10:09:59
500,125,AUTH42,closed,2025-07-10 10:19:59
501,126,AUTH18,new,2025-07-10 13:32:59
502,126,AUTH18,assign,2025-07-10 17:02:59
503,126,AUTH18,in-progress,2025-07-10 22:01:59
504,126,AUTH18,closed,2025-07-10 22:54:59
505,127,AUTH42,new,2025-07-11 02:48:59
506,127,AUTH42,assign,2025-07-11 06:38:59
507,127,AUTH42,in-progress,2025-07-11 10:50:59
508,127,AUTH42,closed,2025-07-11 13:29:59
509,128,AUTH42,new,2025-07-11 16:51:59
510,128,AUTH42,assign,2025-07-11 18:49:59
511,128,AUTH42,in-progress,2025-07-11 21:21:59
512,128,AUTH42,closed,2025-07-11 22:00:59
513,129,AUTH18,new,2025-07-11 23:47:59
514,129,AUTH18,assign,2025-07-12 03:06:59
515,129,AUTH18,in-progress,2025-07-12 05:28:59
516,129,AUTH18,closed,2025-07-12 05:50:59
517,130,AUTH42,new,2025-07-12 08:49:59
518,130,AUTH42,assign,2025-07-12 11:44:59
519,130,AUTH42,in-progress,2025-07-12 16:09:59
520,130,AUTH42,closed,2025-07-12 21:02:59
521,131,AUTH18,new,2025-07-13 01:44:59
522,131,AUTH18,assign,2025-07-13 03:35:59
523,131,AUTH18,in-progress,2025-07-13 03:37:59
524,131,AUTH18,closed,2025-07-13 04:16:59
525,132,ACC28,new,2025-07-13 07:24:59
526,132,ACC28,assign,2025-07-13 11:18:59
527,132,ACC28,in-progress,2025-07-13 13:05:59
528,132,ACC28,closed,2025-07-13 18:05:59
529,133,AUTH18,new,2025-07-13 22:57:59
530,133,AUTH18,assign,2025-07-14 01:48:59
531,133,AUTH18,in-progress,2025-07-14 02:19:59
532,133,AUTH18,closed,2025-07-14 04:54:59
533,134,AUTH42,new,2025-07-14 06:39:59
534,134,AUTH42,assign,2025-07-14 09:25:59
535,134,AUTH42,in-progress,2025-07-14 10:17:59
536,134,AUTH42,closed,2025-07-14 12:35:59
537,135,AUTH42,new,2025-07-14 15:18:59
538,135,AUTH42,assign,2025-07-14 16:51:59
539,135,AUTH42,in-progress,2025-07-14 19:43:59
540,135,AUTH42,closed,2025-07-14 23:20:59
541,136,ACC28,new,2025-07-15 00:12:59
542,136,ACC28,assign,2025-07-15 02:49:59
